date,bond_id,maturity_years,yield
2026-01-07,JGB005,4.328,0.011567
2026-01-07,JGB006,4.57,0.01073
2026-01-07,JGB007,4.857,0.011553
2026-01-07,JGB008,4.864,0.011146
2026-01-07,JGB009,6.465,0.013019
2026-01-07,JGB010,6.533,0.013496
2026-01-07,JGB011,6.906,0.013963
2026-01-07,JGB012,7.441,0.012768
2026-01-07,JGB013,8.622,0.013638
2026-01-07,JGB014,8.676,0.014095
2026-01-07,JGB015,10.922,0.015036
2026-01-07,JGB016,11.385,0.014679
2026-01-07,JGB017,13.183,0.014389
2026-01-07,JGB018,14.279,0.014854
2026-01-07,JGB019,14.767,0.014868
2026-01-07,JGB020,15.229,0.014685
2026-01-07,JGB021,15.586,0.014581
2026-01-07,JGB022,15.615,0.015006
2026-01-07,JGB023,16.698,0.014971
2026-01-07,JGB024,16.835,0.014938
2026-01-07,JGB025,17.952,0.014889
2026-01-07,JGB026,18.244,0.014399
2026-01-07,JGB027,18.846,0.014827
2026-01-07,JGB028,20.054,0.015489
2026-01-07,JGB029,20.276,0.014862
2026-01-07,JGB030,20.364,0.014425
2026-01-07,JGB031,23.747,0.015654
2026-01-07,JGB032,24.165,0.015358
2026-01-07,JGB033,24.594,0.015973
2026-01-07,JGB034,26.086,0.015171
2026-01-07,JGB035,26.93,0.014993
2026-01-07,JGB036,27.092,0.014567
2026-01-07,JGB037,27.882,0.015755
2026-01-07,JGB038,28.476,0.016209
2026-01-07,JGB039,29.437,0.014871
2026-01-08,JGB000,1.346,0.005803
2026-01-08,JGB001,2.577,0.008439
2026-01-08,JGB002,2.952,0.010158
2026-01-08,JGB003,4.293,0.011021
2026-01-08,JGB004,4.298,0.011728
2026-01-08,JGB005,4.328,0.012088
2026-01-08,JGB006,4.57,0.011153
2026-01-08,JGB007,4.857,0.012003
2026-01-08,JGB008,4.864,0.01156
2026-01-08,JGB009,6.465,0.013464
2026-01-08,JGB010,6.533,0.013919
2026-01-08,JGB011,6.906,0.014475
2026-01-08,JGB012,7.441,0.013124
2026-01-08,JGB013,8.622,0.014002
2026-01-08,JGB014,8.676,0.014598
2026-01-08,JGB015,10.922,0.01547
2026-01-08,JGB016,11.385,0.015106
2026-01-08,JGB017,13.183,0.014796
2026-01-08,JGB018,14.279,0.015384
2026-01-08,JGB019,14.767,0.015455
2026-01-08,JGB020,15.229,0.015166
2026-01-08,JGB021,15.586,0.015055
2026-01-08,JGB022,15.615,0.015474
2026-01-08,JGB023,16.698,0.015523
2026-01-08,JGB024,16.835,0.015269
2026-01-08,JGB025,17.952,0.015296
2026-01-08,JGB026,18.244,0.014963
2026-01-08,JGB027,18.846,0.015278
2026-01-08,JGB028,20.054,0.016075
2026-01-08,JGB029,20.276,0.015405
2026-01-08,JGB030,20.364,0.014951
2026-01-08,JGB031,23.747,0.01627
2026-01-08,JGB032,24.165,0.015771
2026-01-08,JGB033,24.594,0.016402
2026-01-08,JGB034,26.086,0.01565
2026-01-08,JGB035,26.93,0.01545
2026-01-08,JGB036,27.092,0.015103
2026-01-08,JGB037,27.882,0.016186
2026-01-08,JGB038,28.476,0.016647
2026-01-08,JGB039,29.437,0.01535
2026-01-09,JGB000,1.346,0.008071
2026-01-09,JGB001,2.577,0.010487
2026-01-09,JGB002,2.952,0.012226
2026-01-09,JGB003,4.293,0.013112
2026-01-09,JGB004,4.298,0.013925
2026-01-09,JGB005,4.328,0.014213
2026-01-09,JGB006,4.57,0.013426
2026-01-09,JGB007,4.857,0.014187
2026-01-09,JGB008,4.864,0.013789
2026-01-09,JGB009,6.465,0.01561
2026-01-09,JGB010,6.533,0.016148
2026-01-09,JGB011,6.906,0.016577
2026-01-09,JGB012,7.441,0.015366
2026-01-09,JGB013,8.622,0.016259
2026-01-09,JGB014,8.676,0.016743
2026-01-09,JGB015,10.922,0.017703
2026-01-09,JGB016,11.385,0.01726
2026-01-09,JGB017,13.183,0.017
2026-01-09,JGB018,14.279,0.017476
2026-01-09,JGB019,14.767,0.017397
2026-01-09,JGB020,15.229,0.01735
2026-01-09,JGB021,15.586,0.01705
2026-01-09,JGB022,15.615,0.017692
2026-01-09,JGB023,16.698,0.017693
2026-01-09,JGB024,16.835,0.017501
2026-01-09,JGB025,17.952,0.017558
2026-01-09,JGB026,18.244,0.017113
2026-01-09,JGB027,18.846,0.01745
2026-01-09,JGB028,20.054,0.018021
2026-01-09,JGB029,20.276,0.01758
2026-01-09,JGB030,20.364,0.01712
2026-01-09,JGB031,23.747,0.018356
2026-01-09,JGB032,24.165,0.018053
2026-01-09,JGB033,24.594,0.01867
2026-01-09,JGB034,26.086,0.017745
2026-01-09,JGB035,26.93,0.017494
2026-01-09,JGB036,27.092,0.017241
2026-01-09,JGB037,27.882,0.018332
2026-01-09,JGB038,28.476,0.018884
2026-01-09,JGB039,29.437,0.017484
2026-01-12,JGB000,1.346,0.008106
2026-01-12,JGB001,2.577,0.010821
2026-01-12,JGB002,2.952,0.012384
2026-01-12,JGB003,4.293,0.013346
2026-01-12,JGB004,4.298,0.01409
2026-01-12,JGB005,4.328,0.01439
2026-01-12,JGB006,4.57,0.013518
2026-01-12,JGB007,4.857,0.014313
2026-01-12,JGB008,4.864,0.013956
2026-01-12,JGB009,6.465,0.0158
2026-01-12,JGB010,6.533,0.016296
2026-01-12,JGB011,6.906,0.016704
2026-01-12,JGB012,7.441,0.015561
2026-01-12,JGB013,8.622,0.0164
2026-01-12,JGB014,8.676,0.016983
2026-01-12,JGB015,10.922,0.017833
2026-01-12,JGB016,11.385,0.017395
2026-01-12,JGB017,13.183,0.01714
2026-01-12,JGB018,14.279,0.017695
2026-01-12,JGB019,14.767,0.017611
2026-01-12,JGB020,15.229,0.017586
2026-01-12,JGB021,15.586,0.0173
2026-01-12,JGB022,15.615,0.017784
2026-01-12,JGB023,16.698,0.017833
2026-01-12,JGB024,16.835,0.017765
2026-01-12,JGB025,17.952,0.017561
2026-01-12,JGB026,18.244,0.017286
2026-01-12,JGB027,18.846,0.017578
2026-01-12,JGB028,20.054,0.018339
2026-01-12,JGB029,20.276,0.01774
2026-01-12,JGB030,20.364,0.017285
2026-01-12,JGB031,23.747,0.018527
2026-01-12,JGB032,24.165,0.018152
2026-01-12,JGB033,24.594,0.018794
2026-01-12,JGB034,26.086,0.017995
2026-01-12,JGB035,26.93,0.01774
2026-01-12,JGB036,27.092,0.017413
2026-01-12,JGB037,27.882,0.018494
2026-01-12,JGB038,28.476,0.018969
2026-01-12,JGB039,29.437,0.017662
2026-01-13,JGB000,1.346,0.008031
2026-01-13,JGB001,2.577,0.010609
2026-01-13,JGB002,2.952,0.012192
2026-01-13,JGB003,4.293,0.013214
2026-01-13,JGB004,4.298,0.013928
2026-01-13,JGB005,4.328,0.014271
2026-01-13,JGB006,4.57,0.013345
2026-01-13,JGB007,4.857,0.014121
2026-01-13,JGB008,4.864,0.013709
2026-01-13,JGB009,6.465,0.015573
2026-01-13,JGB010,6.533,0.016182
2026-01-13,JGB011,6.906,0.016551
2026-01-13,JGB012,7.441,0.015212
2026-01-13,JGB013,8.622,0.016216
2026-01-13,JGB014,8.676,0.016675
2026-01-13,JGB015,10.922,0.017633
2026-01-13,JGB016,11.385,0.017176
2026-01-13,JGB017,13.183,0.016927
2026-01-13,JGB018,14.279,0.017507
2026-01-13,JGB019,14.767,0.017407
2026-01-13,JGB020,15.229,0.017284
2026-01-13,JGB021,15.586,0.017213
2026-01-13,JGB022,15.615,0.017734
2026-01-13,JGB023,16.698,0.017576
2026-01-13,JGB024,16.835,0.017588
2026-01-13,JGB025,17.952,0.017457
2026-01-13,JGB026,18.244,0.017052
2026-01-13,JGB027,18.846,0.017408
2026-01-13,JGB028,20.054,0.018058
2026-01-13,JGB029,20.276,0.017642
2026-01-13,JGB030,20.364,0.017104
2026-01-13,JGB031,23.747,0.018223
2026-01-13,JGB032,24.165,0.017932
2026-01-13,JGB033,24.594,0.018508
2026-01-13,JGB034,26.086,0.017771
2026-01-13,JGB035,26.93,0.017636
2026-01-13,JGB036,27.092,0.017112
2026-01-13,JGB037,27.882,0.018295
2026-01-13,JGB038,28.476,0.018829
2026-01-13,JGB039,29.437,0.017528
2026-01-14,JGB000,1.346,0.009048
2026-01-14,JGB001,2.577,0.011651
2026-01-14,JGB002,2.952,0.013318
2026-01-14,JGB003,4.293,0.0142
2026-01-14,JGB004,4.298,0.014941
2026-01-14,JGB005,4.328,0.015339
2026-01-14,JGB006,4.57,0.014476
2026-01-14,JGB007,4.857,0.015217
2026-01-14,JGB008,4.864,0.014798
2026-01-14,JGB009,6.465,0.016692
2026-01-14,JGB010,6.533,0.017118
2026-01-14,JGB011,6.906,0.017622
2026-01-14,JGB012,7.441,0.016311
2026-01-14,JGB013,8.622,0.017414
2026-01-14,JGB014,8.676,0.017859
2026-01-14,JGB015,10.922,0.018709
2026-01-14,JGB016,11.385,0.018303
2026-01-14,JGB017,13.183,0.017941
2026-01-14,JGB018,14.279,0.018614
2026-01-14,JGB019,14.767,0.01857
2026-01-14,JGB020,15.229,0.018408
2026-01-14,JGB021,15.586,0.018287
2026-01-14,JGB022,15.615,0.01874
2026-01-14,JGB023,16.698,0.01865
2026-01-14,JGB024,16.835,0.018621
2026-01-14,JGB025,17.952,0.018636
2026-01-14,JGB026,18.244,0.018165
2026-01-14,JGB027,18.846,0.018491
2026-01-14,JGB028,20.054,0.019247
2026-01-14,JGB029,20.276,0.018577
2026-01-14,JGB030,20.364,0.018161
2026-01-14,JGB031,23.747,0.019391
2026-01-14,JGB032,24.165,0.018961
2026-01-14,JGB033,24.594,0.019711
2026-01-14,JGB034,26.086,0.018845
2026-01-14,JGB035,26.93,0.018563
2026-01-14,JGB036,27.092,0.01827
2026-01-14,JGB037,27.882,0.019345
2026-01-14,JGB038,28.476,0.019915
2026-01-14,JGB039,29.437,0.018495
2026-01-15,JGB000,1.346,0.00985
2026-01-15,JGB001,2.577,0.012523
2026-01-15,JGB002,2.952,0.014082
2026-01-15,JGB003,4.293,0.015019
2026-01-15,JGB004,4.298,0.015832
2026-01-15,JGB005,4.328,0.016112
2026-01-15,JGB006,4.57,0.015188
2026-01-15,JGB007,4.857,0.015957
2026-01-15,JGB008,4.864,0.015682
2026-01-15,JGB009,6.465,0.017517
2026-01-15,JGB010,6.533,0.018012
2026-01-15,JGB011,6.906,0.018452
2026-01-15,JGB012,7.441,0.017129
2026-01-15,JGB013,8.622,0.018061
2026-01-15,JGB014,8.676,0.018598
2026-01-15,JGB015,10.922,0.019536
2026-01-15,JGB016,11.385,0.019144
2026-01-15,JGB017,13.183,0.018846
2026-01-15,JGB018,14.279,0.019432
2026-01-15,JGB019,14.767,0.019344
2026-01-15,JGB020,15.229,0.019269
2026-01-15,JGB021,15.586,0.019121
2026-01-15,JGB022,15.615,0.019506
2026-01-15,JGB023,16.698,0.019539
2026-01-15,JGB024,16.835,0.019414
2026-01-15,JGB025,17.952,0.019383
2026-01-15,JGB026,18.244,0.01901
2026-01-15,JGB027,18.846,0.019248
2026-01-15,JGB028,20.054,0.020095
2026-01-15,JGB029,20.276,0.019432
2026-01-15,JGB030,20.364,0.018965
2026-01-15,JGB031,23.747,0.020086
2026-01-15,JGB032,24.165,0.01987
2026-01-15,JGB033,24.594,0.020542
2026-01-15,JGB034,26.086,0.019736
2026-01-15,JGB035,26.93,0.019525
2026-01-15,JGB036,27.092,0.019014
2026-01-15,JGB037,27.882,0.020171
2026-01-15,JGB038,28.476,0.020692
2026-01-15,JGB039,29.437,0.019323
2026-01-16,JGB000,1.346,0.010754
2026-01-16,JGB001,2.577,0.013362
2026-01-16,JGB002,2.952,0.014995
2026-01-16,JGB003,4.293,0.015845
2026-01-16,JGB004,4.298,0.016585
2026-01-16,JGB005,4.328,0.016915
2026-01-16,JGB006,4.57,0.016091
2026-01-16,JGB007,4.857,0.016895
2026-01-16,JGB008,4.864,0.016511
2026-01-16,JGB009,6.465,0.018392
2026-01-16,JGB010,6.533,0.018819
2026-01-16,JGB011,6.906,0.01927
2026-01-16,JGB012,7.441,0.018046
2026-01-16,JGB013,8.622,0.018902
2026-01-16,JGB014,8.676,0.019471
2026-01-16,JGB015,10.922,0.020428
2026-01-16,JGB016,11.385,0.020043
2026-01-16,JGB017,13.183,0.019795
2026-01-16,JGB018,14.279,0.020256
2026-01-16,JGB019,14.767,0.020152
2026-01-16,JGB020,15.229,0.020173
2026-01-16,JGB021,15.586,0.019909
2026-01-16,JGB022,15.615,0.020395
2026-01-16,JGB023,16.698,0.020469
2026-01-16,JGB024,16.835,0.02023
2026-01-16,JGB025,17.952,0.020212
2026-01-16,JGB026,18.244,0.019828
2026-01-16,JGB027,18.846,0.020199
2026-01-16,JGB028,20.054,0.020906
2026-01-16,JGB029,20.276,0.020337
2026-01-16,JGB030,20.364,0.019859
2026-01-16,JGB031,23.747,0.020933
2026-01-16,JGB032,24.165,0.020655
2026-01-16,JGB033,24.594,0.021344
2026-01-16,JGB034,26.086,0.020494
2026-01-16,JGB035,26.93,0.020274
2026-01-16,JGB036,27.092,0.019889
2026-01-16,JGB037,27.882,0.021022
2026-01-16,JGB038,28.476,0.021564
2026-01-16,JGB039,29.437,0.020177
2026-01-19,JGB000,1.346,0.010961
2026-01-19,JGB001,2.577,0.013486
2026-01-19,JGB002,2.952,0.015165
2026-01-19,JGB003,4.293,0.016038
2026-01-19,JGB004,4.298,0.016705
2026-01-19,JGB005,4.328,0.017077
2026-01-19,JGB006,4.57,0.016148
2026-01-19,JGB007,4.857,0.017047
2026-01-19,JGB008,4.864,0.016555
2026-01-19,JGB009,6.465,0.018535
2026-01-19,JGB010,6.533,0.019046
2026-01-19,JGB011,6.906,0.019327
2026-01-19,JGB012,7.441,0.018208
2026-01-19,JGB013,8.622,0.019178
2026-01-19,JGB014,8.676,0.019589
2026-01-19,JGB015,10.922,0.020557
2026-01-19,JGB016,11.385,0.020028
2026-01-19,JGB017,13.183,0.019885
2026-01-19,JGB018,14.279,0.020301
2026-01-19,JGB019,14.767,0.020317
2026-01-19,JGB020,15.229,0.02016
2026-01-19,JGB021,15.586,0.019926
2026-01-19,JGB022,15.615,0.020528
2026-01-19,JGB023,16.698,0.020647
2026-01-19,JGB024,16.835,0.020349
2026-01-19,JGB025,17.952,0.020415
2026-01-19,JGB026,18.244,0.019965
2026-01-19,JGB027,18.846,0.020283
2026-01-19,JGB028,20.054,0.021043
2026-01-19,JGB029,20.276,0.020542
2026-01-19,JGB030,20.364,0.0199
2026-01-19,JGB031,23.747,0.021172
2026-01-19,JGB032,24.165,0.020846
2026-01-19,JGB033,24.594,0.021395
2026-01-19,JGB034,26.086,0.020752
2026-01-19,JGB035,26.93,0.02057
2026-01-19,JGB036,27.092,0.020033
2026-01-19,JGB037,27.882,0.021286
2026-01-19,JGB038,28.476,0.021707
2026-01-19,JGB039,29.437,0.02035
2026-01-20,JGB000,1.346,0.01203
2026-01-20,JGB001,2.577,0.014653
2026-01-20,JGB002,2.952,0.01632
2026-01-20,JGB003,4.293,0.017231
2026-01-20,JGB004,4.298,0.017949
2026-01-20,JGB005,4.328,0.018163
2026-01-20,JGB006,4.57,0.017261
2026-01-20,JGB007,4.857,0.018208
2026-01-20,JGB008,4.864,0.017709
2026-01-20,JGB009,6.465,0.019619
2026-01-20,JGB010,6.533,0.020107
2026-01-20,JGB011,6.906,0.020562
2026-01-20,JGB012,7.441,0.019248
2026-01-20,JGB013,8.622,0.020325
2026-01-20,JGB014,8.676,0.02072
2026-01-20,JGB015,10.922,0.021644
2026-01-20,JGB016,11.385,0.021252
2026-01-20,JGB017,13.183,0.021076
2026-01-20,JGB018,14.279,0.021456
2026-01-20,JGB019,14.767,0.021435
2026-01-20,JGB020,15.229,0.021382
2026-01-20,JGB021,15.586,0.021227
2026-01-20,JGB022,15.615,0.021675
2026-01-20,JGB023,16.698,0.021653
2026-01-20,JGB024,16.835,0.021534
2026-01-20,JGB025,17.952,0.021498
2026-01-20,JGB026,18.244,0.021125
2026-01-20,JGB027,18.846,0.021437
2026-01-20,JGB028,20.054,0.022123
2026-01-20,JGB029,20.276,0.021601
2026-01-20,JGB030,20.364,0.021123
2026-01-20,JGB031,23.747,0.0224
2026-01-20,JGB032,24.165,0.021947
2026-01-20,JGB033,24.594,0.022625
2026-01-20,JGB034,26.086,0.021887
2026-01-20,JGB035,26.93,0.021511
2026-01-20,JGB036,27.092,0.021136
2026-01-20,JGB037,27.882,0.022282
2026-01-20,JGB038,28.476,0.022841
2026-01-20,JGB039,29.437,0.021623
2026-01-21,JGB000,1.346,0.012309
2026-01-21,JGB001,2.577,0.014856
2026-01-21,JGB002,2.952,0.016351
2026-01-21,JGB003,4.293,0.017281
2026-01-21,JGB004,4.298,0.018186
2026-01-21,JGB005,4.328,0.018473
2026-01-21,JGB006,4.57,0.017505
2026-01-21,JGB007,4.857,0.018438
2026-01-21,JGB008,4.864,0.017909
2026-01-21,JGB009,6.465,0.019899
2026-01-21,JGB010,6.533,0.020463
2026-01-21,JGB011,6.906,0.020763
2026-01-21,JGB012,7.441,0.019487
2026-01-21,JGB013,8.622,0.020516
2026-01-21,JGB014,8.676,0.020947
2026-01-21,JGB015,10.922,0.021924
2026-01-21,JGB016,11.385,0.021432
2026-01-21,JGB017,13.183,0.021286
2026-01-21,JGB018,14.279,0.021762
2026-01-21,JGB019,14.767,0.021645
2026-01-21,JGB020,15.229,0.021578
2026-01-21,JGB021,15.586,0.021443
2026-01-21,JGB022,15.615,0.021787
2026-01-21,JGB023,16.698,0.021892
2026-01-21,JGB024,16.835,0.021733
2026-01-21,JGB025,17.952,0.021781
2026-01-21,JGB026,18.244,0.02127
2026-01-21,JGB027,18.846,0.021759
2026-01-21,JGB028,20.054,0.02237
2026-01-21,JGB029,20.276,0.021776
2026-01-21,JGB030,20.364,0.021404
2026-01-21,JGB031,23.747,0.0226
2026-01-21,JGB032,24.165,0.022193
2026-01-21,JGB033,24.594,0.022795
2026-01-21,JGB034,26.086,0.022045
2026-01-21,JGB035,26.93,0.021811
2026-01-21,JGB036,27.092,0.021438
2026-01-21,JGB037,27.882,0.02265
2026-01-21,JGB038,28.476,0.023097
2026-01-21,JGB039,29.437,0.021739
2026-01-22,JGB000,1.346,0.012436
2026-01-22,JGB001,2.577,0.015098
2026-01-22,JGB002,2.952,0.016708
2026-01-22,JGB003,4.293,0.017568
2026-01-22,JGB004,4.298,0.018329
2026-01-22,JGB005,4.328,0.018774
2026-01-22,JGB006,4.57,0.017781
2026-01-22,JGB007,4.857,0.018562
2026-01-22,JGB008,4.864,0.018278
2026-01-22,JGB009,6.465,0.020032
2026-01-22,JGB010,6.533,0.020525
2026-01-22,JGB011,6.906,0.021025
2026-01-22,JGB012,7.441,0.019687
2026-01-22,JGB013,8.622,0.020638
2026-01-22,JGB014,8.676,0.021207
2026-01-22,JGB015,10.922,0.022064
2026-01-22,JGB016,11.385,0.021643
2026-01-22,JGB017,13.183,0.021408
2026-01-22,JGB018,14.279,0.021917
2026-01-22,JGB019,14.767,0.021914
2026-01-22,JGB020,15.229,0.021776
2026-01-22,JGB021,15.586,0.021592
2026-01-22,JGB022,15.615,0.022173
2026-01-22,JGB023,16.698,0.022068
2026-01-22,JGB024,16.835,0.022016
2026-01-22,JGB025,17.952,0.022002
2026-01-22,JGB026,18.244,0.021514
2026-01-22,JGB027,18.846,0.021791
2026-01-22,JGB028,20.054,0.022598
2026-01-22,JGB029,20.276,0.022056
2026-01-22,JGB030,20.364,0.021573
2026-01-22,JGB031,23.747,0.02271
2026-01-22,JGB032,24.165,0.022452
2026-01-22,JGB033,24.594,0.023099
2026-01-22,JGB034,26.086,0.022181
2026-01-22,JGB035,26.93,0.022106
2026-01-22,JGB036,27.092,0.021652
2026-01-22,JGB037,27.882,0.022733
2026-01-22,JGB038,28.476,0.023251
2026-01-22,JGB039,29.437,0.022015
2026-01-23,JGB000,1.346,0.013045
2026-01-23,JGB001,2.577,0.015757
2026-01-23,JGB002,2.952,0.017353
2026-01-23,JGB003,4.293,0.018274
2026-01-23,JGB004,4.298,0.018995
2026-01-23,JGB005,4.328,0.019276
2026-01-23,JGB006,4.57,0.018499
2026-01-23,JGB007,4.857,0.019221
2026-01-23,JGB008,4.864,0.018853
2026-01-23,JGB009,6.465,0.020698
2026-01-23,JGB010,6.533,0.02124
2026-01-23,JGB011,6.906,0.021724
2026-01-23,JGB012,7.441,0.020447
2026-01-23,JGB013,8.622,0.021325
2026-01-23,JGB014,8.676,0.02184
2026-01-23,JGB015,10.922,0.022743
2026-01-23,JGB016,11.385,0.022425
2026-01-23,JGB017,13.183,0.022137
2026-01-23,JGB018,14.279,0.022655
2026-01-23,JGB019,14.767,0.022536
2026-01-23,JGB020,15.229,0.022496
2026-01-23,JGB021,15.586,0.022328
2026-01-23,JGB022,15.615,0.022675
2026-01-23,JGB023,16.698,0.022872
2026-01-23,JGB024,16.835,0.022599
2026-01-23,JGB025,17.952,0.022604
2026-01-23,JGB026,18.244,0.022285
2026-01-23,JGB027,18.846,0.02257
2026-01-23,JGB028,20.054,0.023274
2026-01-23,JGB029,20.276,0.022689
2026-01-23,JGB030,20.364,0.022143
2026-01-23,JGB031,23.747,0.023412
2026-01-23,JGB032,24.165,0.023147
2026-01-23,JGB033,24.594,0.023681
2026-01-23,JGB034,26.086,0.022998
2026-01-23,JGB035,26.93,0.022675
2026-01-23,JGB036,27.092,0.022302
2026-01-23,JGB037,27.882,0.023483
2026-01-23,JGB038,28.476,0.023963
2026-01-23,JGB039,29.437,0.022652
2026-01-26,JGB000,1.346,0.012385
2026-01-26,JGB001,2.577,0.014961
2026-01-26,JGB002,2.952,0.016601
2026-01-26,JGB003,4.293,0.01753
2026-01-26,JGB004,4.298,0.018251
2026-01-26,JGB005,4.328,0.018666
2026-01-26,JGB006,4.57,0.017724
2026-01-26,JGB007,4.857,0.01847
2026-01-26,JGB008,4.864,0.018297
2026-01-26,JGB009,6.465,0.019988
2026-01-26,JGB010,6.533,0.020515
2026-01-26,JGB011,6.906,0.021051
2026-01-26,JGB012,7.441,0.019788
2026-01-26,JGB013,8.622,0.020603
2026-01-26,JGB014,8.676,0.021115
2026-01-26,JGB015,10.922,0.022018
2026-01-26,JGB016,11.385,0.021735
2026-01-26,JGB017,13.183,0.021417
2026-01-26,JGB018,14.279,0.021904
2026-01-26,JGB019,14.767,0.021852
2026-01-26,JGB020,15.229,0.02187
2026-01-26,JGB021,15.586,0.021549
2026-01-26,JGB022,15.615,0.02205
2026-01-26,JGB023,16.698,0.022024
2026-01-26,JGB024,16.835,0.022048
