date,tenor,par_yield
2026-03-06,20.0,0.04398
2026-03-06,30.0,0.04411
2026-03-09,0.5,0.02791
2026-03-09,1.0,0.03055
2026-03-09,2.0,0.03453
2026-03-09,3.0,0.03728
2026-03-09,5.0,0.04051
2026-03-09,7.0,0.0421
2026-03-09,10.0,0.04317
2026-03-09,20.0,0.04398
2026-03-09,30.0,0.04414
2026-03-10,0.5,0.0279
2026-03-10,1.0,0.03054
2026-03-10,2.0,0.03453
2026-03-10,3.0,0.03728
2026-03-10,5.0,0.04051
2026-03-10,7.0,0.0421
2026-03-10,10.0,0.04317
2026-03-10,20.0,0.04401
2026-03-10,30.0,0.04418
2026-03-11,0.5,0.02777
2026-03-11,1.0,0.03041
2026-03-11,2.0,0.0344
2026-03-11,3.0,0.03715
2026-03-11,5.0,0.04038
2026-03-11,7.0,0.04197
2026-03-11,10.0,0.04305
2026-03-11,20.0,0.04389
2026-03-11,30.0,0.04407
2026-03-12,0.5,0.02766
2026-03-12,1.0,0.03029
2026-03-12,2.0,0.03428
2026-03-12,3.0,0.03702
2026-03-12,5.0,0.04024
2026-03-12,7.0,0.04183
2026-03-12,10.0,0.04289
2026-03-12,20.0,0.04368
2026-03-12,30.0,0.04381
2026-03-13,0.5,0.02766
2026-03-13,1.0,0.03029
2026-03-13,2.0,0.03428
2026-03-13,3.0,0.03702
2026-03-13,5.0,0.04024
2026-03-13,7.0,0.04182
2026-03-13,10.0,0.04287
2026-03-13,20.0,0.04364
2026-03-13,30.0,0.04375
2026-03-16,0.5,0.02763
2026-03-16,1.0,0.03027
2026-03-16,2.0,0.03426
2026-03-16,3.0,0.03701
2026-03-16,5.0,0.04024
2026-03-16,7.0,0.04183
2026-03-16,10.0,0.0429
2026-03-16,20.0,0.04373
2026-03-16,30.0,0.0439
2026-03-17,0.5,0.02758
2026-03-17,1.0,0.03021
2026-03-17,2.0,0.0342
2026-03-17,3.0,0.03695
2026-03-17,5.0,0.04017
2026-03-17,7.0,0.04176
2026-03-17,10.0,0.04283
2026-03-17,20.0,0.04364
2026-03-17,30.0,0.0438
2026-03-18,0.5,0.0276
2026-03-18,1.0,0.03023
2026-03-18,2.0,0.03422
2026-03-18,3.0,0.03697
2026-03-18,5.0,0.0402
2026-03-18,7.0,0.04179
2026-03-18,10.0,0.04287
2026-03-18,20.0,0.04369
2026-03-18,30.0,0.04386
2026-03-19,0.5,0.0276
2026-03-19,1.0,0.03023
2026-03-19,2.0,0.03422
2026-03-19,3.0,0.03697
2026-03-19,5.0,0.0402
2026-03-19,7.0,0.04179
2026-03-19,10.0,0.04286
2026-03-19,20.0,0.04368
2026-03-19,30.0,0.04385
2026-03-20,0.5,0.02767
2026-03-20,1.0,0.0303
2026-03-20,2.0,0.03429
2026-03-20,3.0,0.03704
2026-03-20,5.0,0.04027
2026-03-20,7.0,0.04187
2026-03-20,10.0,0.04294
2026-03-20,20.0,0.04378
2026-03-20,30.0,0.04396
2026-03-23,0.5,0.02758
2026-03-23,1.0,0.03021
2026-03-23,2.0,0.0342
2026-03-23,3.0,0.03695
2026-03-23,5.0,0.04018
2026-03-23,7.0,0.04177
2026-03-23,10.0,0.04285
2026-03-23,20.0,0.04369
2026-03-23,30.0,0.04386
2026-03-24,0.5,0.02762
2026-03-24,1.0,0.03025
2026-03-24,2.0,0.03424
2026-03-24,3.0,0.03698
2026-03-24,5.0,0.04021
2026-03-24,7.0,0.0418
2026-03-24,10.0,0.04287
2026-03-24,20.0,0.04368
2026-03-24,30.0,0.04383
2026-03-25,0.5,0.02767
2026-03-25,1.0,0.03031
2026-03-25,2.0,0.03429
2026-03-25,3.0,0.03704
2026-03-25,5.0,0.04026
2026-03-25,7.0,0.04184
2026-03-25,10.0,0.04291
2026-03-25,20.0,0.0437
2026-03-25,30.0,0.04383
2026-03-26,0.5,0.02778
2026-03-26,1.0,0.03041
2026-03-26,2.0,0.0344
2026-03-26,3.0,0.03714
2026-03-26,5.0,0.04036
2026-03-26,7.0,0.04195
2026-03-26,10.0,0.04302
2026-03-26,20.0,0.04381
2026-03-26,30.0,0.04395
